Date,open,high,low,close,Volume,Volume MA,Volume,Volume MA
1697007600,1.06106,1.06287,1.05953,1.05999,7650,3715.1,7650,3715.1
1697011200,1.05999,1.06138,1.05933,1.06086,6580,3669.95,6580,3669.95
1697014800,1.06086,1.06148,1.06044,1.06045,4420,3494.65,4420,3494.65
1697018400,1.06045,1.06068,1.05978,1.06018,3752,3309.2,3752,3309.2
1697022000,1.06018,1.06088,1.05966,1.0604,3909,3236.4,3909,3236.4
1697025600,1.0604,1.06146,1.05818,1.06146,10083,3534.75,10083,3534.75
1697029200,1.06146,1.06348,1.06066,1.06288,9957,3785.15,9957,3785.15
1697032800,1.06288,1.06347,1.06183,1.06242,7880,3965.05,7880,3965.05
1697036400,1.06242,1.06248,1.06102,1.06128,5889,4095.45,5889,4095.45
1697040000,1.06128,1.06131,1.05996,1.06074,4613,4234.3,4613,4234.3
1697043600,1.06074,1.06098,1.05848,1.0593,3901,4420.45,3901,4420.45
1697047200,1.0593,1.06086,1.0591,1.06072,4658,4631.75,4658,4631.75
1697050800,1.06072,1.06158,1.0607,1.06126,2526,4705.55,2526,4705.55
1697054400,1.06126,1.06204,1.06116,1.06183,1166,4631.25,1166,4631.25
1697058000,1.06183,1.0621,1.06155,1.06198,314,4499.45,314,4499.45
1697061600,1.06198,1.06218,1.06189,1.06194,718,4387.45,718,4387.45
1697065200,1.06194,1.06258,1.06189,1.06236,998,4337.25,998,4337.25
1697068800,1.06236,1.0628,1.062,1.06224,2306,4370.7,2306,4370.7
1697072400,1.06224,1.0627,1.06202,1.06248,2838,4411.75,2838,4411.75
1697076000,1.06248,1.06262,1.06204,1.0624,1939,4304.85,1939,4304.85
1697079600,1.0624,1.06292,1.06208,1.06288,2087,4026.7,2087,4026.7
1697083200,1.06288,1.06318,1.06272,1.06311,1599,3777.65,1599,3777.65
1697086800,1.06311,1.06338,1.06294,1.06314,2213,3667.3,2213,3667.3
1697090400,1.06314,1.06399,1.06277,1.06356,4468,3703.1,4468,3703.1
1697094000,1.06356,1.06363,1.062,1.06202,4384,3726.85,4384,3726.85
1697097600,1.06202,1.0627,1.06194,1.06266,3731,3409.25,3731,3409.25
1697101200,1.06266,1.06274,1.0616,1.06182,3319,3077.35,3319,3077.35
1697104800,1.06182,1.06269,1.0617,1.06186,2571,2811.9,2571,2811.9
1697108400,1.06186,1.06202,1.06134,1.06196,2996,2667.25,2996,2667.25
1697112000,1.06196,1.06275,1.05718,1.05817,12831,3078.15,12831,3078.15
1697115600,1.05817,1.05862,1.05476,1.05494,12013,3483.75,12013,3483.75
1697119200,1.05494,1.05628,1.05445,1.05557,8360,3668.85,8360,3668.85
1697122800,1.05557,1.05602,1.05454,1.05522,5992,3842.15,5992,3842.15
1697126400,1.05522,1.05611,1.05463,1.05486,3926,3980.15,3926,3980.15
1697130000,1.05486,1.05492,1.05324,1.05346,6083,4268.6,6083,4268.6
1697133600,1.05346,1.05373,1.05258,1.05268,3494,4407.4,3494,4407.4
1697137200,1.05268,1.05342,1.05266,1.05307,2535,4484.25,2535,4484.25
1697140800,1.05307,1.05316,1.05276,1.05283,1523,4445.1,1523,4445.1
1697144400,1.05283,1.05322,1.05272,1.05305,627,4334.55,627,4334.55
1697148000,1.05305,1.05322,1.05295,1.05316,804,4277.8,804,4277.8
1697151600,1.05316,1.05376,1.05309,1.05356,1343,4240.6,1343,4240.6
1697155200,1.05356,1.05396,1.05346,1.0539,2592,4290.25,2592,4290.25
1697158800,1.0539,1.05434,1.05376,1.05423,2762,4317.7,2762,4317.7
1697162400,1.05423,1.05468,1.054,1.05462,2705,4229.55,2705,4229.55
1697166000,1.05462,1.05482,1.05428,1.05457,1724,4096.55,1724,4096.55
1697169600,1.05457,1.05502,1.05432,1.055,1941,4007.05,1941,4007.05
1697173200,1.055,1.05509,1.05442,1.05485,2628,3972.5,2628,3972.5
1697176800,1.05485,1.05486,1.05335,1.05368,4289,4058.4,4289,4058.4
1697180400,1.05368,1.0558,1.05314,1.05519,6007,4208.95,6007,4208.95
1697184000,1.05519,1.05586,1.05505,1.05538,5189,3826.85,5189,3826.85
1697187600,1.05538,1.0555,1.05278,1.05294,4348,3443.6,4348,3443.6
1697191200,1.05294,1.0531,1.05156,1.0518,4031,3227.15,4031,3227.15
1697194800,1.0518,1.05308,1.0514,1.05246,4888,3171.95,4888,3171.95
1697198400,1.05246,1.05475,1.0521,1.05375,7852,3368.25,7852,3368.25
1697202000,1.05375,1.05414,1.05166,1.05266,8541,3491.15,8541,3491.15
1697205600,1.05266,1.05266,1.04996,1.05035,11008,3866.85,11008,3866.85
1697209200,1.05035,1.05054,1.04954,1.05007,5571,4018.65,5571,4018.65
1697212800,1.05007,1.05153,1.04994,1.05091,4717,4178.35,4717,4178.35
1697216400,1.05091,1.05118,1.05008,1.05052,4360,4365,4360,4365
1697220000,1.05052,1.05124,1.05042,1.05111,4142,4531.9,4142,4531.9
1697223600,1.05111,1.0516,1.05094,1.05138,3598,4644.65,3598,4644.65
1697227200,1.05138,1.0514,1.05058,1.0509,1443,4587.2,1443,4587.2
1697403600,1.0509,1.0523,1.0509,1.05218,686,4483.4,686,4483.4
1697407200,1.05218,1.05258,1.05162,1.05216,1616,4428.95,1616,4428.95
1697410800,1.05216,1.05226,1.05173,1.0522,1538,4419.65,1538,4419.65
1697414400,1.0522,1.05238,1.05156,1.05176,2869,4466.05,2869,4466.05
1697418000,1.05176,1.05256,1.05176,1.0522,2819,4475.6,2819,4475.6
1697421600,1.0522,1.05259,1.052,1.05217,1653,4343.8,1653,4343.8
1697425200,1.05217,1.05242,1.052,1.05235,1691,4128,1691,4128
1697428800,1.05235,1.0527,1.05224,1.0526,1462,3941.65,1462,3941.65
1697432400,1.0526,1.05305,1.0523,1.05296,2205,3834.5,2205,3834.5
1697436000,1.05296,1.05384,1.05267,1.05349,4551,3860.5,4551,3860.5
1697439600,1.05349,1.0536,1.05236,1.05343,6319,3932.05,6319,3932.05
1697443200,1.05343,1.05431,1.05235,1.05409,4822,3780.55,4822,3780.55
1697446800,1.05409,1.05424,1.05318,1.0532,3454,3526.2,3454,3526.2
1697450400,1.0532,1.05348,1.05278,1.05324,3017,3126.65,3017,3126.65
1697454000,1.05324,1.0539,1.05262,1.05367,3132,3004.7,3132,3004.7
1697457600,1.05367,1.05461,1.05295,1.05418,6591,3098.4,6591,3098.4
1697461200,1.05418,1.0544,1.05281,1.053,5931,3176.95,5931,3176.95
1697464800,1.053,1.05554,1.05256,1.05496,5929,3266.3,5929,3266.3
1697468400,1.05496,1.05528,1.05394,1.05448,3745,3273.65,3745,3273.65
1697472000,1.05448,1.05494,1.05404,1.05475,2856,3344.3,2856,3344.3
1697475600,1.05475,1.05562,1.05436,1.0555,2096,3414.8,2096,3414.8
1697479200,1.0555,1.05568,1.05518,1.05542,2135,3440.75,2135,3440.75
1697482800,1.05542,1.056285,1.05526,1.05628,2041,3465.9,2041,3465.9
1697486400,1.05628,1.05628,1.05584,1.05593,1193,3382.1,1193,3382.1
1697490000,1.05593,1.05614,1.05576,1.05598,866,3284.45,866,3284.45
1697493600,1.05598,1.05621,1.05558,1.05562,606,3232.1,606,3232.1
1697497200,1.05562,1.05574,1.0553,1.05545,950,3195.05,950,3195.05
1697500800,1.05545,1.05606,1.05544,1.05556,2532,3248.55,2532,3248.55
1697504400,1.05556,1.0556,1.05494,1.05524,2624,3269.5,2624,3269.5
1697508000,1.05524,1.0553,1.05462,1.05502,2252,3154.55,2252,3154.55
1697511600,1.05502,1.05544,1.05481,1.055,1990,2938.1,1990,2938.1
1697515200,1.055,1.05502,1.05454,1.05474,1730,2783.5,1730,2783.5
1697518800,1.05474,1.05506,1.05437,1.05442,2260,2723.8,2260,2723.8
1697522400,1.05442,1.05451,1.0534,1.05372,3800,2762.95,3800,2762.95
1697526000,1.05372,1.05548,1.05342,1.05486,4357,2824.2,4357,2824.2
1697529600,1.05486,1.05488,1.05329,1.0536,3659,2677.6,3659,2677.6
1697533200,1.0536,1.05545,1.0536,1.0554,3516,2556.85,3516,2556.85
1697536800,1.0554,1.05627,1.05462,1.05534,4493,2485.05,4493,2485.05
1697540400,1.05534,1.05793,1.05532,1.05752,3789,2487.25,3789,2487.25
1697544000,1.05752,1.05779,1.05384,1.05471,8922,2790.55,8922,2790.55
1697547600,1.05471,1.05616,1.05397,1.0549,9014,3136.45,9014,3136.45
1697551200,1.0549,1.05872,1.05482,1.05752,8697,3464.55,8697,3464.55
1697554800,1.05752,1.05929,1.05752,1.05924,5505,3637.75,5505,3637.75
1697558400,1.05924,1.0595,1.05786,1.05796,3730,3764.6,3730,3764.6
1697562000,1.05796,1.05812,1.05645,1.05672,2848,3863.7,2848,3863.7
1697565600,1.05672,1.05747,1.05641,1.05691,2778,3972.3,2778,3972.3
1697569200,1.05691,1.05812,1.05691,1.0577,2795,4064.55,2795,4064.55
1697572800,1.0577,1.0578,1.05736,1.05762,1506,4013.25,1506,4013.25
1697576400,1.05762,1.05788,1.0575,1.05762,527,3908.4,527,3908.4
1697580000,1.05762,1.05774,1.05748,1.05758,474,3819.5,474,3819.5
1697583600,1.05758,1.05762,1.05719,1.05728,1422,3791.1,1422,3791.1
1697587200,1.05728,1.05745,1.05604,1.05644,2082,3808.7,2082,3808.7
1697590800,1.05644,1.05702,1.05613,1.05695,2985,3844.95,2985,3844.95
1697594400,1.05695,1.05792,1.05695,1.05755,3001,3805,3001,3805
1697598000,1.05755,1.05782,1.05723,1.05756,1962,3685.25,1962,3685.25
1697601600,1.05756,1.05787,1.05732,1.05756,1568,3580.7,1568,3580.7
1697605200,1.05756,1.05849,1.05746,1.05825,2117,3510.75,2117,3510.75
1697608800,1.05825,1.05945,1.0577,1.0579,4282,3500.2,4282,3500.2
1697612400,1.0579,1.05834,1.05704,1.05789,5369,3579.2,5369,3579.2
1697616000,1.05789,1.05851,1.05734,1.05834,4260,3346.1,4260,3346.1
1697619600,1.05834,1.05868,1.056575,1.05692,4499,3120.35,4499,3120.35
1697623200,1.05692,1.05698,1.05541,1.0556,4347,2902.85,4347,2902.85
1697626800,1.0556,1.05683,1.05522,1.05607,4010,2828.1,4010,2828.1
1697630400,1.05607,1.05745,1.05492,1.0557,6184,2950.8,6184,2950.8
1697634000,1.0557,1.05642,1.05486,1.05508,7739,3195.35,7739,3195.35
1697637600,1.05508,1.05604,1.05323,1.05375,8890,3500.95,8890,3500.95
1697641200,1.05375,1.05429,1.05259,1.05313,5617,3642.05,5617,3642.05
1697644800,1.05313,1.0538,1.05232,1.0537,4868,3810.15,4868,3810.15
1697648400,1.0537,1.05539,1.05346,1.05502,5571,4062.35,5571,4062.35
1697652000,1.05502,1.0551249999999999,1.05363,1.05363,2873,4182.3,2873,4182.3
